number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_cw_blue,params_cw_green,params_cw_orange,params_cw_red,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_leaf_estimation_method,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_rsm,params_subsample,state
53,0.859335979715745,2026-05-20 14:42:36.418749,2026-05-20 14:44:15.352338,0 days 00:01:38.933589,,Bernoulli,198,3.2232644254030047,2.173051429440648,3.4430623073115436,16.424462319144098,9,Lossguide,3900,6.080100951293775e-05,8,Gradient,0.12471110425857038,75.0,1.0,0.005858900916515797,0.7253304753576887,0.5893054875016788,COMPLETE
54,0.8146735982510972,2026-05-20 14:44:15.519792,2026-05-20 14:44:26.306468,0 days 00:00:10.786676,,MVS,126,6.76790171903566,3.6758706860779835,2.113103552329857,10.999855614482996,5,Depthwise,4500,7.277490330804465e-05,6,Newton,0.2405433665079642,,1.0,0.00010081809890924868,0.41465133389875863,0.5920119324512624,COMPLETE
55,0.8672034854084447,2026-05-20 14:44:26.446469,2026-05-20 14:45:36.038999,0 days 00:01:09.592530,,Bernoulli,200,6.051241197065643,3.047572830423385,2.54794118905528,6.907593969828634,10,Lossguide,4600,0.0005014569001324423,9,Gradient,0.1266282923923817,73.0,1.0,0.0013477382972798102,0.7055283097983825,0.5947523757487012,COMPLETE
56,0.8667781174993024,2026-05-20 14:45:36.215358,2026-05-20 14:46:31.092035,0 days 00:00:54.876677,,Bernoulli,180,8.617188175207772,2.32713823737959,1.6049447361036895,11.09474316350626,9,Lossguide,4600,0.0028469996840175785,8,Gradient,0.21251062212312485,63.0,1.0,0.00045136809039914916,0.7379375246146023,0.5962759771484728,COMPLETE
57,0.862242413998884,2026-05-20 14:46:31.263600,2026-05-20 14:47:30.937570,0 days 00:00:59.673970,,Bernoulli,214,7.155898146411633,3.6189231083438456,3.20044045577676,12.607671966499089,9,Lossguide,4400,0.00020059859386872166,9,Gradient,0.1981499794446293,59.0,1.0,1.0932564808515002e-05,0.7072429275436857,0.5524631604479553,COMPLETE
58,0.8667249240562036,2026-05-20 14:47:31.097373,2026-05-20 14:49:05.223891,0 days 00:01:34.126518,,Bernoulli,158,8.547934461672961,1.2294009901923237,1.196774222941763,12.16740395382428,9,Lossguide,4600,0.04626718621482139,7,Gradient,0.14074612221695693,60.0,1.0,0.0002834820794045346,0.7326806694256527,0.5843630135206995,COMPLETE
59,0.8639293338773621,2026-05-20 14:49:05.397262,2026-05-20 14:50:20.175721,0 days 00:01:14.778459,,Bernoulli,172,8.192299303142827,2.2268794025315546,2.098029127967709,13.459094156015357,8,Lossguide,4400,0.013159326786062778,9,Gradient,0.17009801683187198,60.0,1.0,0.00015169628095629037,0.6845977189695038,0.5831251427043279,COMPLETE
60,0.8673891878571529,2026-05-20 14:50:20.339734,2026-05-20 14:51:54.280986,0 days 00:01:33.941252,,Bernoulli,206,9.96723783733222,3.1996054410993358,1.29705444606886,13.974010330759405,9,Lossguide,4500,0.00016077033815488172,9,Gradient,0.13985198095480586,56.0,1.0,0.0025164791224516476,0.6255980404244135,0.591496813288713,COMPLETE
61,0.8632702445774921,2026-05-20 14:51:54.455412,2026-05-20 14:53:06.665181,0 days 00:01:12.209769,,Bernoulli,242,8.871823359973014,3.9585529585220165,3.4300723532869393,8.71108181522516,10,Lossguide,5000,1.2600476498389326e-05,9,Gradient,0.153043006425422,57.0,1.0,1.1550963203029811e-07,0.6386339398248249,0.5889220763451298,COMPLETE
62,0.8618439777842445,2026-05-20 14:53:06.820120,2026-05-20 14:53:59.538797,0 days 00:00:52.718677,,Bernoulli,114,7.256241099332895,1.0994461579671155,2.193386358928285,14.420524287843847,9,Lossguide,4100,1.0180892404315143,5,Gradient,0.2948280679259224,55.0,1.0,0.00015273785517096186,0.8617912983319564,0.6141273192838914,COMPLETE
